countryname,iso3c,wbregion,incgroup,lendingcat,census_round,date,year,planned,notes
Aruba,ABW,Latin America & Caribbean,High income,,round1990, 6 October 1991,1991,0,
Aruba,ABW,Latin America & Caribbean,High income,,round2000, 14 October 2000,2000,0,
Aruba,ABW,Latin America & Caribbean,High income,,round2010, 29 Sep.-6 Oct. 2010,2010,0,
Aruba,ABW,Latin America & Caribbean,High income,,round2020,+ (2020),2020,1,
Afghanistan,AFG,South Asia,Low income,IDA,round1990, -,,0,
Afghanistan,AFG,South Asia,Low income,IDA,round2000, -,,0,
Afghanistan,AFG,South Asia,Low income,IDA,round2010, (16) -,,0,"Census was planned to be conducted using staggered enumerations province by province. At the end of 2014, only 6 of the 34 provinces had been enumerated."
Afghanistan,AFG,South Asia,Low income,IDA,round2020, -,,0,
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD,round2010, 16-31 May 2014,2014,0,
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD,round2020,+ (2024),2024,1,
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD,round1990, -,,0,
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD,round2000, -,,0,
Anguilla,AIA,,,,round1990, 13 April 1992,1992,0,
Anguilla,AIA,,,,round2000, 9 May 2001,2001,0,
Anguilla,AIA,,,,round2010, 11 May 2011,2011,0,
Anguilla,AIA,,,,round2020,+ (2021),2021,1,
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,round1990, 12 April 1989,1989,0,
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,round2000, 1 April 2001,2001,0,
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,round2010, 1 October 2011,2011,0,
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,round2020, (October 2020),2020,1,
Andorra,AND,Europe & Central Asia,High income,,round1990, 12 July 1989,1989,0,
Andorra,AND,Europe & Central Asia,High income,,round2010, (3) 31 December 2011,2011,0,Population figures compiled from administrative registers.
Andorra,AND,Europe & Central Asia,High income,,round2020,+ (2021),2021,1,
Andorra,AND,Europe & Central Asia,High income,,round2000, (3),,0,Population figures compiled from administrative registers.
United Arab Emirates,ARE,Middle East & North Africa,High income,,round1990, 17-23 December 1985,1985,0,
United Arab Emirates,ARE,Middle East & North Africa,High income,,round2000, 17 December 1995,1995,0,
United Arab Emirates,ARE,Middle East & North Africa,High income,,round2010, 5-6 December 2005,2005,0,
United Arab Emirates,ARE,Middle East & North Africa,High income,,round2010, 6-19 April 2010,2010,0,
United Arab Emirates,ARE,Middle East & North Africa,High income,,round2020, (8 December 2020),2020,1,
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,round1990, 15 May 1991,1991,0,
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,round2000, 18 November 2001,2001,0,
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,round2010, 27 October 2010,2010,0,
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,round2020,+ (2020),2020,1,
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD,round1990, 12 January 1989,1989,0,
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD,round2000, 10-19 October 2001,2001,0,
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD,round2010, 12-21 October 2011,2011,0,
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD,round2020, (18-27 October 2020),2020,1,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,round1990, 1 April 1990,1990,0,
